Sample,Rjct,Data File,Acq. Date-Time,Type,Level,Solution Label,Total Dil.,Vial Number,7  Li  [ No Gas ] ,7  Li  [ He ] ,9  Be  [ No Gas ] ,9  Be  [ He ] ,45  Sc  [ No Gas ] ,45  Sc  [ He ] ,51  V  [ No Gas ] ,51  V  [ He ] ,52  Cr  [ No Gas ] ,52  Cr  [ He ] ,59  Co  [ No Gas ] ,59  Co  [ He ] ,60  Ni  [ No Gas ] ,60  Ni  [ He ] ,63  Cu  [ No Gas ] ,63  Cu  [ He ] ,66  Zn  [ No Gas ] ,66  Zn  [ He ] ,71  Ga  [ No Gas ] ,71  Ga  [ He ] ,85  Rb  [ No Gas ] ,85  Rb  [ He ] ,88  Sr  [ No Gas ] ,88  Sr  [ He ] ,89  Y  [ No Gas ] ,89  Y  [ He ] ,90  Zr  [ No Gas ] ,90  Zr  [ He ] ,95  Mo  [ No Gas ] ,95  Mo  [ He ] ,107  Ag  [ No Gas ] ,107  Ag  [ He ] ,111  Cd  [ No Gas ] ,111  Cd  [ He ] ,118  Sn  [ No Gas ] ,118  Sn  [ He ] ,121  Sb  [ No Gas ] ,121  Sb  [ He ] ,133  Cs  [ No Gas ] ,133  Cs  [ He ] ,137  Ba  [ No Gas ] ,137  Ba  [ He ] ,138  Ba  [ He ] ,139  La  [ No Gas ] ,139  La  [ He ] ,140  Ce  [ No Gas ] ,140  Ce  [ He ] ,141  Pr  [ No Gas ] ,141  Pr  [ He ] ,146  Nd  [ No Gas ] ,146  Nd  [ He ] ,147  Sm  [ No Gas ] ,147  Sm  [ He ] ,153  Eu  [ No Gas ] ,153  Eu  [ He ] ,157  Gd  [ No Gas ] ,157  Gd  [ He ] ,159  Tb  [ No Gas ] ,159  Tb  [ He ] ,163  Dy  [ No Gas ] ,163  Dy  [ He ] ,165  Ho  [ No Gas ] ,165  Ho  [ He ] ,166  Er  [ No Gas ] ,166  Er  [ He ] ,169  Tm  [ No Gas ] ,169  Tm  [ He ] ,172  Yb  [ No Gas ] ,172  Yb  [ He ] ,175  Lu  [ No Gas ] ,175  Lu  [ He ] ,178  Hf  [ No Gas ] ,178  Hf  [ He ] ,181  Ta  [ No Gas ] ,181  Ta  [ He ] ,205  Tl  [ No Gas ] ,205  Tl  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ No Gas ] ,208  Pb  [ He ] ,209  Bi  [ No Gas ] ,209  Bi  [ He ] ,232  Th  [ No Gas ] ,232  Th  [ He ] ,238  U  [ No Gas ] ,238  U  [ He ] ,103  Rh ( ISTD )  [ No Gas ] ,,103  Rh ( ISTD )  [ He ] ,
9  Be  [ No Gas ] :  CPS RSD value = 5.41 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 126.06 is over the calibration range137  Ba  [ He ] :  Concentration value = 100.76 is over the calibration range147  Sm  [ He ] :  CPS RSD value = 5.47 is over the allowed maximum = 5.00175  Lu  [ No Gas ] :  CPS RSD value = 6.01 is over the allowed maximum = 5.00181  Ta  [ He ] :  CPS RSD value = 5.37 is over the allowed maximum = 5.00209  Bi  [ He ] :  CPS RSD value = 5.06 is over the allowed maximum = 5.00,FALSE,323SMPL.d,15-05-2025 09:33,Sample,,MCS 825,3748.774,2211,31518.997,34949.885,2904.659,2941.606,3874.181,4066.768,25315.753,25391.374,18143.957,16862.376,3222.515,3075.995,6509.893,6005.026,5186.4,4927.089,13865.332,10135.031,14518.419,16063.336,217634.868,174247.373,84785.212,67552.92,19813.978,18968.854,4943.748,4846.873,176.606,122.9,<0.000,<0.000,37.008,<0.000,5207.51,5269.123,81.596,<0.000,10999.666,10847.706,472569.043,377714.271,361316.358,29976.18,30157.153,74912.498,59248.86,7323.196,7145.4,28647.135,27811.823,6268.217,6062.681,1008.869,910.654,6500.273,5712.353,872.322,835.732,5333.717,5031.818,849.082,849.327,2361.368,2339.291,290.058,266.213,2031.322,2013.876,231.828,214.69,165.189,156.737,1146.726,1066.704,1031.3,995.317,39555.62,35927.301,38046.468,37301.884,742.545,692.535,20803.684,20732.407,4331.146,4341.561,,,,
121  Sb  [ No Gas ] :  CPS RSD value = 5.82 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 108.93 is over the calibration range137  Ba  [ No Gas ] :  CPS RSD value = 11.39 is over the allowed maximum = 5.00147  Sm  [ He ] :  CPS RSD value = 5.97 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 6.70 is over the allowed maximum = 5.00205  Tl  [ No Gas ] :  CPS RSD value = 5.93 is over the allowed maximum = 5.00,FALSE,324SMPL.d,15-05-2025 09:37,Sample,,MCS 826,3808.1441,2212,28280.222,30766.374,2710.131,2847.574,3860.412,4267.963,26553.781,26370.685,20185.018,19365.621,3378.638,3260.085,6373.076,6537.974,6353.255,5925.504,6486.355,4589.153,13816.44,14540.104,198589.392,164401.399,81094.25,64680.884,13209.434,13042.415,4426.738,4383.129,47.858,71.815,<0.000,<0.000,<0.000,<0.000,4394.404,4264.178,69.162,38.485,9649.889,9492.375,414825.224,380622.657,364332.041,24854.724,24188.065,56905.808,46530.455,5656.453,5321.764,21376.697,20636.031,4180.594,4049.123,1043.734,976.716,4141.021,3784.647,552.198,482.267,3315.091,3103.833,543.441,506.226,1528.182,1567.868,176.663,159.09,1352.68,1250.243,142.526,127.517,147.957,143.117,952.839,901.424,888.822,892.689,36927.842,34027.962,36543.752,35172.905,455.933,450.431,14162.579,13261.972,3137.327,3332.897,,,,
137  Ba  [ No Gas ] :  Concentration value = 129.24 is over the calibration range137  Ba  [ He ] :  Concentration value = 104.09 is over the calibration range153  Eu  [ He ] :  CPS RSD value = 5.81 is over the allowed maximum = 5.00165  Ho  [ He ] :  CPS RSD value = 7.61 is over the allowed maximum = 5.00172  Yb  [ He ] :  CPS RSD value = 6.70 is over the allowed maximum = 5.00181  Ta  [ He ] :  CPS RSD value = 5.79 is over the allowed maximum = 5.00232  Th  [ He ] :  CPS RSD value = 5.24 is over the allowed maximum = 5.00,FALSE,325SMPL.d,15-05-2025 09:41,Sample,,MCS 827,3825.5058,2301,21236.085,25333.598,1767.875,1977.644,7884.288,8339.719,61326.813,53485.379,47091.068,46613.701,6199.677,6001.325,15451.21,15604.464,10529.276,10409.751,27025.778,22662.619,15767.756,18669.064,116152.939,96637.149,63450.538,47482.803,24666.633,23714.883,8675.905,8329.619,194.74,186.458,<0.000,<0.000,<0.000,<0.000,3776.367,3471.265,157.082,99.129,7267.685,6951.956,494406.72,398190.991,381476.99,75028.384,64385.778,155977.886,121224.447,14981.973,14564.673,56791.662,54215.907,10786.497,10348.196,1630.12,1460.964,9826.662,8564.407,1146.81,1036.901,6464.817,6034.435,1061.158,1012.949,3036.15,3057.417,388.081,355.458,2729.656,2645.929,349.324,329.69,300.394,272.572,1000.658,960.382,539.15,504.286,26977.937,25585.618,26405.793,25996.135,248.112,228.497,29989.762,30400.801,3938.797,4115.336,,,,
7  Li  [ No Gas ] :  CPS RSD value = 5.63 is over the allowed maximum = 5.00139  La  [ He ] :  CPS RSD value = 12.01 is over the allowed maximum = 5.00165  Ho  [ He ] :  CPS RSD value = 5.41 is over the allowed maximum = 5.00178  Hf  [ No Gas ] :  CPS RSD value = 9.75 is over the allowed maximum = 5.00205  Tl  [ He ] :  CPS RSD value = 9.25 is over the allowed maximum = 5.00209  Bi  [ He ] :  CPS RSD value = 8.99 is over the allowed maximum = 5.00,FALSE,326_QC1.d,15-05-2025 09:45,QC1,,QC MES 50 ppb,1,4102,48.953,46.421,47.415,47.951,48.058,41.8,52.303,44.622,51.168,43.01,51.526,42.777,42.273,43.11,51.781,43.39,42.711,38.745,54.631,44.754,55.822,45.044,52.635,41.97,56.315,46.471,55.697,46.028,47.838,47.664,50.508,44.399,52.222,48.069,58.022,49.205,59.621,47.942,57.055,49.527,56.593,53.05,51.801,59.108,53.534,58.839,54.532,59.711,57.765,50.966,50.049,52.067,51.703,60.019,50.399,55.759,53.624,58.83,57.879,66.538,53.071,58.716,58.871,62.611,52.918,62.349,60.086,53.642,53.443,63.049,52.09,59.689,54.587,62.288,58.747,63.834,60.441,56.975,55.894,64.676,55.534,64.075,57.13,66.996,65.229,65.22,68.179,,,,
71  Ga  [ He ] :  CPS RSD value = 6.10 is over the allowed maximum = 5.0090  Zr  [ He ] :  CPS RSD value = 28.71 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 131.53 is over the calibration range137  Ba  [ He ] :  Concentration value = 103.63 is over the calibration range166  Er  [ He ] :  CPS RSD value = 5.04 is over the allowed maximum = 5.00,FALSE,327SMPL.d,15-05-2025 09:50,Sample,,MCS 828,3758.1329,2302,30951.569,34321.144,3248.122,2671.37,4469.285,4955.877,30342.661,30256.164,21729.38,21856.875,4366.256,4123.869,8260.253,8527.814,5759.821,5286.855,14222.249,11567.821,14950.28,15815.322,217789.541,173387.994,75729.788,58852.461,15539.966,14917.805,7179.634,8571.495,168.729,165.729,87.589,52.666,20.07,<0.000,5354.033,5018.445,139.971,88.618,11047.611,10677.499,494316.855,389473.921,374909.205,34698.031,33699.698,85281.607,67248.49,8296.201,7989.845,31389.747,29809.433,6787.486,6378.106,985.423,884.05,6583.177,5550.277,807.82,710.249,4330.281,4039.843,652.261,616.844,1671.402,1660.059,182.585,161.326,1336.136,1242.233,139.244,135.602,299.457,269.537,1085.209,1095.744,1031.445,1015.083,37563.694,34696.826,35555.889,35109.309,610.976,557.322,23004.061,23194.146,4752.594,4891.274,,,,
137  Ba  [ No Gas ] :  Concentration value = 130.23 is over the calibration range137  Ba  [ He ] :  Concentration value = 106.94 is over the calibration range169  Tm  [ No Gas ] :  CPS RSD value = 5.58 is over the allowed maximum = 5.00178  Hf  [ No Gas ] :  CPS RSD value = 5.23 is over the allowed maximum = 5.00,FALSE,328SMPL.d,15-05-2025 09:54,Sample,,MCS 829,3801.3715,2303,33281.652,37101.72,3561.603,3263.617,6489.168,7191.374,44912.218,45562.132,31838.223,31491.55,6042.328,5798.125,11879.439,11995.654,14427.417,14260.052,17177.202,13627.719,17089.366,19347.751,215171.28,172196.367,89644.398,69017.123,25411.632,24609.215,17416.66,17069,858.413,880.155,37.206,20.941,<0.000,<0.000,5408.863,5196.002,178.258,108.353,10802.662,10057.731,495064.987,406531.683,373433.75,66343.256,55910.364,140943.844,109121.916,13733.674,13059.176,52134.135,48748.6,10430.758,10138.318,1487.115,1348.603,10207.456,8732.028,1256.924,1128.484,6943.783,6037.865,1079.909,1023.034,2991.143,2839.656,356.265,332.296,2518.966,2358.149,304.742,303.184,614.066,595.92,1571.749,1516.444,1038.617,1013.068,38056.123,34533.775,36259.417,36199.924,762.019,711.141,32383.176,32296.936,6143.525,6212.518,,,,
137  Ba  [ No Gas ] :  Concentration value = 119.70 is over the calibration range137  Ba  [ No Gas ] :  CPS RSD value = 12.67 is over the allowed maximum = 5.00137  Ba  [ He ] :  Concentration value = 104.58 is over the calibration range138  Ba  [ He ] :  Concentration value = 100.82 is over the calibration range169  Tm  [ No Gas ] :  CPS RSD value = 6.85 is over the allowed maximum = 5.00,FALSE,329SMPL.d,15-05-2025 09:58,Sample,,MCS 830,3571.2525,2304,27666.907,29052.611,3044.218,3461.699,3289.65,3796.636,22257.458,22079.363,14762.99,14108.034,2718.472,2684.4,5031.433,4741.371,5301.687,4987.258,8516.158,6137.283,13955.129,15638.835,208870.325,170522.659,80681.882,63305.586,19646.53,19344.172,4539.733,4684.828,86.376,89.104,3.561,<0.000,<0.000,<0.000,4500.434,4452.941,91.362,71.256,10677.491,10303.531,427471.689,373488.726,360062.435,45868.838,39623.949,96433.64,77088.259,9569.059,9423.425,35883.936,34818.978,7404.006,7294.428,1039.869,972.141,7307.879,6878.285,972.894,866.846,5458.296,5103.582,816.154,803.721,2259.661,2200.052,262.431,238.579,1793.955,1774.069,215.809,186.704,161.709,145.959,903.387,875.422,976.244,971.735,38688.113,34676.453,36139.85,36227.528,617.416,584.573,26809.913,26354.708,4799.316,5115.248,,,,
121  Sb  [ No Gas ] :  CPS RSD value = 6.28 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 151.42 is over the calibration range137  Ba  [ He ] :  Concentration value = 121.14 is over the calibration range138  Ba  [ He ] :  Concentration value = 122.48 is over the calibration range138  Ba  [ He ] :  CPS RSD value = 8.26 is over the allowed maximum = 5.00153  Eu  [ He ] :  CPS RSD value = 5.48 is over the allowed maximum = 5.00166  Er  [ He ] :  CPS RSD value = 5.19 is over the allowed maximum = 5.00,FALSE,330SMPL.d,15-05-2025 10:02,Sample,,MCS 831,3866.7773,2305,23506.675,24870.303,1682.854,2605.813,8942.755,9169.541,74186.165,65635.077,64995.621,53410.037,8406.959,8380.586,21476.061,21539.978,18061.092,18284.667,39691.018,34531.155,17448.225,19933.15,148036.712,116152.767,50026.019,39131.245,20556.934,19845.272,8650.247,8466.517,444.461,485.776,1,<0.000,36.296,13.613,4620.377,4332.597,253.627,140.279,7898.283,7654.712,585508.913,468406.251,473588.655,66620.338,56775.724,137108.383,109631.663,13513.105,13109.243,50477.852,48525.837,9803.46,9575.826,1570.687,1453.992,9163.928,8001.589,1068.891,958.907,5724.789,5187.022,920.498,856.764,2476.601,2328.988,308.389,284.327,2248.901,2054.398,266.421,254.748,288.405,276.118,1223.47,1192.27,653.16,592.824,26895.694,25302.836,26675.874,25888.054,360.128,312.94,27545.12,26918.693,4239.507,4279.696,,,,
137  Ba  [ No Gas ] :  Concentration value = 361.72 is over the calibration range137  Ba  [ He ] :  Concentration value = 287.88 is over the calibration range138  Ba  [ He ] :  Concentration value = 313.11 is over the calibration range140  Ce  [ No Gas ] :  CPS RSD value = 5.69 is over the allowed maximum = 5.00159  Tb  [ He ] :  CPS RSD value = 7.39 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 5.35 is over the allowed maximum = 5.00209  Bi  [ No Gas ] :  CPS RSD value = 5.81 is over the allowed maximum = 5.00,FALSE,331_QC2.d,15-05-2025 10:06,QC2,,SJS-Std,3650.7995,4103,44387.334,49175.1,1404.598,1179.58,9329.121,9715.975,116347.173,98611.676,122869.258,100492.569,11016.275,10866.824,69752.619,68232.689,30632.104,29949.723,90933.652,80520.394,15264.396,15130.84,105540.412,85387.074,282661.27,221418.484,14995.308,14706.606,69100.668,58743.249,3309.373,3161.729,313.722,222.299,384.077,339.318,1465.311,1242.514,1425.288,1316.117,5277.168,5036.967,1320570.404,1050996.768,1143085.762,20687.179,20369.755,44143.286,38320.639,4784.584,4550.01,18716.345,18061.491,3686.269,3424.514,1046.325,874.31,3785.136,3320.572,486.762,451.652,3272.609,2943.023,572.842,549.958,1816.353,1718.005,239.981,222.228,1793.037,1764.568,243.481,208.08,2305.455,2271.287,863.807,858.35,570.618,529.985,21307.556,19733.997,19808.194,19962.582,280.112,237.311,10728.022,10692.62,3480.325,3529.65,,,,
9  Be  [ No Gas ] :  CPS RSD value = 5.30 is over the allowed maximum = 5.0095  Mo  [ No Gas ] :  CPS RSD value = 5.12 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 163.76 is over the calibration range137  Ba  [ He ] :  Concentration value = 131.22 is over the calibration range138  Ba  [ He ] :  Concentration value = 146.37 is over the calibration range175  Lu  [ No Gas ] :  CPS RSD value = 6.21 is over the allowed maximum = 5.00205  Tl  [ He ] :  CPS RSD value = 5.00 is over the allowed maximum = 5.00209  Bi  [ No Gas ] :  CPS RSD value = 5.24 is over the allowed maximum = 5.00238  U  [ No Gas ] :  CPS RSD value = 5.88 is over the allowed maximum = 5.00238  U  [ He ] :  CPS RSD value = 6.44 is over the allowed maximum = 5.00,FALSE,332SMPL.d,15-05-2025 10:10,Sample,,MCS 832,3921.4947,2306,27964.298,29265.083,2037.201,2389.279,10482.254,10934.481,88541.635,76918.828,77228.27,63303.47,10925.428,10588.603,25960.398,25877.812,23234.5,23003.946,48925.97,42444.888,19851.07,21853.003,160309.245,129612.89,46139.92,35093.074,24316.068,23630.576,11143.422,10890.328,789.389,829.455,21.145,<0.000,563.633,444.555,5221.225,5065.235,263.592,172.748,9258.426,8984.395,642200.368,514585.707,574002.404,70643.592,60240.101,146322.021,118031.341,14367.337,13980.746,54704.908,53257.832,10328.247,10360.579,1641.227,1511.452,9973.899,8811.022,1221.05,1115.668,6688.174,6321.436,1070.948,1037.004,2924.732,2933.916,364.73,347.452,2568.902,2467.152,313.548,278.187,400.15,381.359,1498.466,1404.644,736.081,725.677,28225.078,26494.322,26817.712,26601.041,530.32,494.971,29394.037,29458.735,4278.969,4239.388,,,,
9  Be  [ No Gas ] :  CPS RSD value = 5.34 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 193.57 is over the calibration range137  Ba  [ He ] :  Concentration value = 153.72 is over the calibration range138  Ba  [ He ] :  Concentration value = 164.58 is over the calibration range140  Ce  [ He ] :  CPS RSD value = 10.49 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 5.46 is over the allowed maximum = 5.00238  U  [ No Gas ] :  CPS RSD value = 5.14 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 14.34 is over the allowed maximum = 5.00,FALSE,333SMPL.d,15-05-2025 10:14,Sample,,MCS 833,3871.0718,2307,31495.291,37391.559,2115.224,2036.936,12412.369,12424.42,103859.482,90538.262,112875.321,96285.592,13057.572,12512.265,30140.761,29884.473,26042.115,25906.61,67324.096,59042.596,22970.585,26008.798,190839.532,153767.379,41801.013,31200.807,27646.113,26001.601,13131.065,12845.537,920.083,883.937,29.882,<0.000,<0.000,<0.000,6246.081,5919.421,331.636,249.775,10952.918,10411.76,749310.819,595053.896,637086.952,94336.94,78258.733,195769.55,159327.487,19197.561,18029.84,72541.276,68475.976,13674.337,13409.885,2013.386,1754.276,13096.42,11321.259,1546.279,1342.944,7951.382,7235.389,1229.199,1125.535,3180.075,3144.815,387.132,354.541,2623.409,2631.013,342.956,309.539,477.752,417.682,1716.609,1672.606,897.86,864.114,28493.156,27288.488,26987.133,27217.648,505.832,441.248,36161.528,36219.874,5766.211,5838.027,,,,
7  Li  [ No Gas ] :  CPS RSD value = 5.29 is over the allowed maximum = 5.009  Be  [ No Gas ] :  CPS RSD value = 5.72 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 178.83 is over the calibration range137  Ba  [ He ] :  Concentration value = 146.24 is over the calibration range138  Ba  [ He ] :  Concentration value = 155.26 is over the calibration range153  Eu  [ He ] :  CPS RSD value = 5.05 is over the allowed maximum = 5.00165  Ho  [ No Gas ] :  CPS RSD value = 6.28 is over the allowed maximum = 5.00205  Tl  [ No Gas ] :  CPS RSD value = 5.31 is over the allowed maximum = 5.00,FALSE,334SMPL.d,15-05-2025 10:18,Sample,,MCS 834,3820.2384,2308,29558.453,30264.711,1854.815,2045.454,11444.075,11517.332,89513.356,77569.087,72236.586,61433.414,11785.887,11444.265,25609.903,26372.559,21524.971,20647.225,61809.474,53988.955,21120.692,22637.754,176966.852,142056.317,50681.438,39210.805,21433.527,21368.723,11601.073,11299.959,691.361,735.984,7.902,<0.000,<0.000,<0.000,5447.943,5442.102,269.749,213.824,10017.459,9560.877,683155.75,558672.705,593133.859,56583.145,48488.39,117360.814,96803.266,11721.631,10841.047,43444.239,43562.047,8826.045,8117.771,1568.724,1456.527,8195.065,6900.945,952.565,872.612,5533.458,5019.115,920.521,878.23,2725.86,2782.286,371.375,341.09,2607.905,2584.854,336.56,306.517,393.14,360.144,1397.542,1382.153,779.968,738.477,32070.933,29890.787,30663.266,30003.307,416.988,367.741,22404.194,22399.531,3959.74,3946.891,,,,
118  Sn  [ No Gas ] :  CPS RSD value = 5.43 is over the allowed maximum = 5.00153  Eu  [ No Gas ] :  CPS RSD value = 5.82 is over the allowed maximum = 5.00,FALSE,335SMPL.d,15-05-2025 10:22,Sample,,MCS 835,3907.4286,2309,34229.386,36560.365,2775.154,3210.385,5067.378,5208.257,29031.197,29465.599,20341.803,19746.946,3485.378,3207.262,7185.608,7075.616,5340.443,4818.714,17296.618,13429.425,15625.109,16485.12,216751.245,173332.878,76061.974,57153.138,13561.648,13282.117,5165.08,5107.245,60.533,77.088,<0.000,<0.000,<0.000,<0.000,6157.003,5847.625,96.51,52.651,11150.19,10659.811,388062.27,366045.42,353830.547,33857.853,33468.286,81686.029,65500.959,8006.133,7783.669,29912.398,28356.74,5899.222,5832.339,914.144,823.443,5663.985,5012.166,673.872,593.538,3709.448,3370.66,544.245,524.562,1464.385,1418.002,150.333,138.932,1108.773,1040.572,107.591,95.058,192.998,174.384,1263.612,1216.636,1002.337,961.43,35521.154,33057.498,34592.194,33511.166,572.048,529.103,22862.122,22046.924,3854.416,3766.211,,,,
88  Sr  [ No Gas ] :  CPS RSD value = 13.13 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 194.88 is over the calibration range137  Ba  [ He ] :  Concentration value = 161.01 is over the calibration range138  Ba  [ He ] :  Concentration value = 168.72 is over the calibration range,FALSE,336SMPL.d,15-05-2025 10:26,Sample,,MCS 836,3787.4201,2310,34305.02,36031.716,2044.022,2377.517,13706.429,14106.026,118670.122,104022.678,107713.768,92027.935,15743.49,15037.216,35324.827,35122.338,32952.309,32294.639,82281.19,71252.9,25770.496,27956.146,195271.719,156028.526,30475.251,25000.284,25565.101,23991.931,12555.365,12305.245,745.626,751.639,5.456,<0.000,15.937,<0.000,7027.239,6791.532,329.024,253.208,11409.799,10943.728,738110.162,609806.138,639029.711,83553.353,71463.681,173703.719,139303.716,16490.413,15943.829,62049.004,60055.686,11755.247,11604.993,1589.146,1407.028,11212.854,9575.798,1308.154,1182.262,6884.442,6362.833,1095.46,1022.796,2896.522,2816.107,378.821,346.198,2678.279,2663.192,342.602,302.073,444.609,440.094,1930.147,1848.285,955.617,921.203,28086.098,26390.452,27307.619,26811.194,483.657,444.685,33849.351,32769.669,5721.584,5660.035,,,,
9  Be  [ No Gas ] :  CPS RSD value = 6.01 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 183.96 is over the calibration range137  Ba  [ He ] :  Concentration value = 149.37 is over the calibration range138  Ba  [ He ] :  Concentration value = 163.19 is over the calibration range172  Yb  [ He ] :  CPS RSD value = 5.96 is over the allowed maximum = 5.00,FALSE,337SMPL.d,15-05-2025 10:30,Sample,,MCS 837,3868.8832,2311,33550.038,34942.392,2380.038,2357.224,12738.14,13271.087,100302.044,87885.86,93019.275,77901.285,12777.528,12518.153,31186.145,30982.799,29210.334,28733.504,68852.056,59854.117,22941.545,24154.34,197021.816,154705.737,43349.524,32079.093,25312.437,24119.171,10985.281,10634.629,495.485,523.083,2,<0.000,87.66,32.689,6098.849,5544.657,267.987,168.429,10986.016,10541.088,711738.576,577884.417,631381.306,60800.618,52466.063,126702.688,101678.505,12578.44,12268.916,48741.131,46023.24,9102.689,8980.068,1754.709,1524.415,8755.233,8240.12,1187.513,1059.711,6663.186,6379.931,1132.675,1075.183,3094.738,3101.016,396.839,390.524,2818.596,2819.46,379.04,367.544,424.812,393.814,1620.738,1611.616,934.477,901.997,29855.463,27531.156,28257.596,28342.596,480.198,430.69,25788.108,25672.446,3990.624,4125.304,,,,
118  Sn  [ No Gas ] :  CPS RSD value = 12.27 is over the allowed maximum = 5.00178  Hf  [ No Gas ] :  CPS RSD value = 7.15 is over the allowed maximum = 5.00,FALSE,338_QC1.d,15-05-2025 10:35,QC1,,QC MES 50 ppb,1,4102,48.955,45.131,46.147,47.11,47.464,40.935,51.43,43.134,50.829,42.587,51.249,41.624,41.774,41.958,50.032,42.492,41.153,37.902,54.618,44.063,52.988,43.55,52.598,40.515,53.665,44.726,53.922,45.598,46.531,45.973,51.337,43.55,49.692,47.628,53.655,46.47,58.109,47.663,56.511,46.682,54.378,53.185,50.676,57.56,49.023,58.382,54.079,59.844,56.768,50.843,49.759,51.161,50.353,60.651,49.942,54.599,53.155,60.45,58.63,64.014,51.641,62.138,59.649,61.25,51.525,63.375,61.172,52.094,52.55,63.556,51.802,59.844,52.512,62.731,57.477,62.796,52.949,54.194,55.37,66.293,53.407,63.433,52.426,65.935,64.976,64.485,67.027,,,,
88  Sr  [ No Gas ] :  CPS RSD value = 8.37 is over the allowed maximum = 5.00133  Cs  [ He ] :  CPS RSD value = 5.23 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 195.69 is over the calibration range137  Ba  [ He ] :  Concentration value = 156.75 is over the calibration range138  Ba  [ He ] :  Concentration value = 172.88 is over the calibration range140  Ce  [ He ] :  CPS RSD value = 11.29 is over the allowed maximum = 5.00205  Tl  [ He ] :  CPS RSD value = 9.67 is over the allowed maximum = 5.00,FALSE,339SMPL.d,15-05-2025 10:39,Sample,,MCS 838,3808.9508,2312,30471.612,34657.207,1821.871,2426.195,11867.358,11948.089,98495.471,86203.522,85901.714,71954.612,12543.028,12327.364,27330.75,27119.213,26320.212,25648.579,67605.129,56780.747,22094.653,25131.437,199290.402,157856.144,34595.081,27320.953,24146.874,23025.884,10714.548,10626.539,741.73,648.705,77.518,49.327,<0.000,<0.000,5910.838,5514.702,296.689,269.454,10222.454,9732.604,745361.698,597069.981,658474.624,90144.677,74628.311,187948.621,159814.87,17593.8,16791.566,68433.68,65364.798,12341.545,11677.738,1717.891,1548.342,11809.179,10008.307,1340.652,1231.783,6715.679,6199.194,1010.17,1000.459,2822.848,2671.545,336.944,322.135,2387.232,2399.387,300.772,295.719,434.56,386.521,1623.744,1780.329,895.429,875.577,28776.851,25033.372,25871.895,26663.221,394.638,358.992,38106.985,39254.503,5691.906,5641.886,,,,
137  Ba  [ No Gas ] :  Concentration value = 158.95 is over the calibration range137  Ba  [ He ] :  Concentration value = 128.26 is over the calibration range138  Ba  [ He ] :  Concentration value = 132.89 is over the calibration range138  Ba  [ He ] :  CPS RSD value = 8.68 is over the allowed maximum = 5.00140  Ce  [ He ] :  CPS RSD value = 5.32 is over the allowed maximum = 5.00146  Nd  [ He ] :  CPS RSD value = 5.31 is over the allowed maximum = 5.00147  Sm  [ He ] :  CPS RSD value = 5.23 is over the allowed maximum = 5.00,FALSE,340SMPL.d,15-05-2025 10:43,Sample,,MCS 839,3863.3672,2401,26103.568,27445.951,2715.995,2710.544,10183.706,10278.446,79055.986,67577.593,73700.559,61703.57,9484.815,9115.679,22758.568,23095.049,19132.289,18444.288,47692.891,42016.684,19076.856,19833.445,148691.878,120498.448,63498.961,45905.34,27450.397,26413.84,11312.845,11025.303,266.911,295.908,41.095,20.536,31.261,51.683,4616.121,4825.488,210.795,98.107,8356.706,8062.968,614066.548,495511.985,513401.849,49651.31,43110.976,100951.536,80862.28,9848.042,9604.43,38026.438,36479.485,7205.634,6966.08,1518.799,1328.678,7221.621,6377.01,973.421,875.06,6131.223,5472.494,1109.497,1066.776,3399.919,3363.042,461.604,418.181,3199.688,3005.715,431.687,401.881,406.752,375.101,1352.801,1325.394,732.536,663.133,28099.384,26304.057,27609.368,26899.566,339.154,303.631,18994.513,17467.603,3121.606,3192.125,,,,
